외출지수,p_ks,p_gjj,p_kj,p_nam,p_dong,p_dr,pred_jin,p_buk,p_ss,p_sh,p_seo,p_sy,p_yj,p_yd,p_jung,p_hae
좋음,0.15357001,,,,,,,,,,,,,,,
좋음,,0.1926364,,,,,,,,,,,,,,
나쁨,,,0.22702499,,,,,,,,,,,,,
나쁨,,,,0.2789988,,,,,,,,,,,,
나쁨,,,,,0.31139392,,,,,,,,,,,
좋음,,,,,,0.15161392,,,,,,,,,,
나쁨,,,,,,,0.288759,,,,,,,,,
좋음,,,,,,,,0.13483858,,,,,,,,
좋음,,,,,,,,,0.17275243,,,,,,,
좋음,,,,,,,,,,0.16681255,,,,,,
나쁨,,,,,,,,,,,0.26926073,,,,,
나쁨,,,,,,,,,,,,0.20066798,,,,
좋음,,,,,,,,,,,,,0.18665478,,,
좋음,,,,,,,,,,,,,,0.10222987,,
나쁨,,,,,,,,,,,,,,,0.25139856,
나쁨,,,,,,,,,,,,,,,,0.2678465
