pred_jin,미세먼지 지수
0.517926,측정 중
0.5543783,측정 중
0.5835595,측정 중
0.49775997,측정 중
0.52280235,측정 중
0.46290725,측정 중
0.43328696,측정 중
0.40442425,측정 중
0.45461047,측정 중
0.48588413,측정 중
0.45079762,측정 중
0.27466837,측정 중
0.18456413,측정 중
0.1375235,측정 중
0.121411234,측정 중
0.13446598,측정 중
0.12594344,측정 중
0.14550574,측정 중
0.14080879,측정 중
0.10107654,측정 중
0.15263003,측정 중
0.22668652,측정 중
0.29094103,측정 중
0.37074062,측정 중
0.4336637,측정 중
0.44910643,측정 중
0.5116205,측정 중
0.5404631,측정 중
0.58045703,측정 중
0.556444,측정 중
0.47854707,측정 중
0.49657184,측정 중
0.5073214,측정 중
0.46861157,측정 중
0.4481339,측정 중
0.4550941,측정 중
0.5181634,측정 중
0.49685282,측정 중
0.51649946,측정 중
0.58066046,측정 중
0.516695,측정 중
0.5521994,측정 중
0.5844823,측정 중
0.60617864,측정 중
0.57988477,측정 중
0.55481887,측정 중
0.43675363,측정 중
0.36244357,측정 중
0.3143526,측정 중
0.32537305,측정 중
0.36834884,측정 중
0.37595558,측정 중
0.23884028,측정 중
0.120192066,측정 중
0.18638736,측정 중
0.20765719,측정 중
0.19453813,측정 중
0.187051,측정 중
0.20486924,측정 중
0.18707868,측정 중
0.19835457,측정 중
0.23567641,측정 중
0.24755287,측정 중
0.24236041,측정 중
0.16425976,측정 중
0.11202869,측정 중
0.11553949,측정 중
0.13313994,측정 중
0.18791316,측정 중
0.26701924,측정 중
0.33370256,측정 중
0.24168143,측정 중
0.20083636,측정 중
0.2514551,측정 중
0.17898266,측정 중
0.1502415,측정 중
0.16174546,측정 중
0.11133377,측정 중
0.0897882,측정 중
0.094029486,측정 중
0.08406304,측정 중
0.083272934,측정 중
0.086553395,측정 중
0.059962537,측정 중
0.05252428,측정 중
0.079160586,측정 중
0.09740411,측정 중
0.14269643,측정 중
0.11293171,측정 중
0.18470125,측정 중
0.23165795,측정 중
0.2806952,측정 중
0.23149386,측정 중
0.23900336,측정 중
0.23950267,측정 중
0.22292404,측정 중
0.2839355,측정 중
0.28171444,측정 중
0.27210662,측정 중
0.2803729,측정 중
0.28343564,측정 중
0.24298547,측정 중
0.23184313,측정 중
0.24253283,측정 중
0.22507867,측정 중
0.20870994,측정 중
0.24692866,측정 중
0.28586388,측정 중
0.23167701,측정 중
0.2484619,측정 중
0.22114481,측정 중
0.25583816,측정 중
0.32651824,측정 중
0.22016233,측정 중
0.34855783,측정 중
0.28352684,측정 중
0.2911247,측정 중
0.357591,측정 중
0.3274222,측정 중
0.24239773,측정 중
0.20280543,측정 중
0.23588902,측정 중
0.24777289,측정 중
0.24684551,측정 중
0.26650798,측정 중
0.21828753,측정 중
0.24751377,측정 중
0.21687587,측정 중
0.21797252,측정 중
0.24685562,측정 중
0.22325689,측정 중
0.19469067,측정 중
0.23259243,측정 중
0.26348093,측정 중
0.34893042,측정 중
0.29322046,측정 중
0.35479602,측정 중
0.28194124,측정 중
0.27645725,측정 중
0.2642817,측정 중
0.22016302,측정 중
0.27138203,측정 중
0.29799804,측정 중
0.21357024,측정 중
0.26833844,측정 중
0.26120698,측정 중
0.2389249,측정 중
0.20798129,측정 중
0.23234129,측정 중
0.22149697,측정 중
0.23947906,측정 중
0.18871155,측정 중
0.18930864,측정 중
0.22693919,측정 중
0.21695004,측정 중
0.15860713,측정 중
0.16062033,측정 중
0.1899159,측정 중
0.23456655,측정 중
0.20808658,측정 중
0.17666572,측정 중
0.21619785,측정 중
0.33016765,측정 중
0.22209474,측정 중
0.1961206,측정 중
0.50206006,측정 중
0.31132764,측정 중
0.25974077,측정 중
0.28654504,측정 중
0.32003537,측정 중
0.31124395,측정 중
